src_port,ground_truth,sampled,scaled
10734,1000,95,950
10046,1000,81,810
10953,1000,109,1090
10816,1000,91,910
10744,1000,97,970
10886,1000,90,900
10153,1000,90,900
10157,1000,94,940
10240,1000,85,850
10636,1000,94,940
10434,1000,104,1040
10292,1000,93,930
10674,1000,81,810
10819,1000,89,890
10913,1000,92,920
10254,1000,91,910
10763,1000,77,770
10630,1000,91,910
10728,1000,94,940
10590,1000,101,1010
10790,1000,93,930
10845,1000,106,1060
10849,1000,86,860
10860,1000,90,900
10677,1000,83,830
10123,1000,89,890
10185,1000,112,1120
10619,1000,105,1050
10653,1000,106,1060
10723,1000,108,1080
10983,1000,106,1060
10031,1000,98,980
10036,1000,72,720
10820,1000,96,960
10834,1000,90,900
10018,1000,81,810
10050,1000,106,1060
10272,1000,104,1040
10282,1000,100,1000
10722,1000,104,1040
10922,1000,98,980
10932,1000,95,950
10419,1000,90,900
10544,1000,115,1150
10666,1000,101,1010
10711,1000,81,810
10733,1000,91,910
10776,1000,100,1000
10796,1000,98,980
10241,1000,95,950
10320,1000,106,1060
10334,1000,119,1190
10386,1000,125,1250
10412,1000,113,1130
10106,1000,88,880
10167,1000,110,1100
10208,1000,92,920
10267,1000,101,1010
10293,1000,83,830
10305,1000,104,1040
10407,1000,88,880
10870,1000,96,960
10047,1000,121,1210
10055,1000,93,930
10225,1000,85,850
10900,1000,119,1190
10906,1000,105,1050
10044,1000,92,920
10080,1000,102,1020
10139,1000,84,840
10835,1000,98,980
10917,1000,84,840
10977,1000,109,1090
10122,1000,86,860
10159,1000,121,1210
10251,1000,108,1080
10275,1000,88,880
10311,1000,81,810
10345,1000,94,940
10361,1000,91,910
10599,1000,96,960
10626,1000,87,870
10604,1000,98,980
10839,1000,92,920
10928,1000,105,1050
10967,1000,85,850
10024,1000,103,1030
10008,1000,91,910
10038,1000,117,1170
10215,1000,102,1020
10255,1000,88,880
10274,1000,87,870
10354,1000,108,1080
10570,1000,102,1020
10618,1000,110,1100
10737,1000,98,980
10871,1000,104,1040
10815,1000,95,950
10109,1000,107,1070
10246,1000,99,990
10440,1000,100,1000
10444,1000,100,1000
10525,1000,102,1020
10885,1000,100,1000
10530,1000,99,990
10897,1000,103,1030
10049,1000,89,890
10136,1000,78,780
10235,1000,88,880
10170,1000,95,950
10238,1000,112,1120
10368,1000,114,1140
10516,1000,82,820
10548,1000,110,1100
10565,1000,100,1000
10610,1000,107,1070
10616,1000,105,1050
10647,1000,103,1030
10724,1000,100,1000
10773,1000,105,1050
10798,1000,104,1040
10842,1000,108,1080
10933,1000,89,890
10941,1000,100,1000
10976,1000,107,1070
10085,1000,101,1010
10087,1000,92,920
10093,1000,102,1020
10108,1000,112,1120
10308,1000,95,950
10466,1000,115,1150
10501,1000,81,810
10547,1000,98,980
10650,1000,109,1090
10874,1000,93,930
10901,1000,85,850
10911,1000,103,1030
10915,1000,89,890
10916,1000,114,1140
10920,1000,95,950
