src_port,ground_truth,sampled,scaled
10098,10000,105,10500
10321,10000,88,8800
10029,10000,97,9700
10794,10000,89,8900
10949,10000,79,7900
10531,10000,100,10000
10002,10000,94,9400
10857,10000,104,10400
10448,10000,78,7800
10447,10000,93,9300
10679,10000,88,8800
10915,10000,91,9100
10114,10000,90,9000
10763,10000,108,10800
10131,10000,83,8300
10095,10000,98,9800
10658,10000,88,8800
10786,10000,92,9200
10574,10000,89,8900
10392,10000,104,10400
10032,10000,95,9500
10409,10000,91,9100
10746,10000,101,10100
10846,10000,81,8100
10157,10000,105,10500
10558,10000,87,8700
10075,10000,112,11200
10283,10000,102,10200
10122,10000,105,10500
10393,10000,109,10900
10713,10000,94,9400
10885,10000,99,9900
10407,10000,92,9200
10844,10000,114,11400
10297,10000,87,8700
10101,10000,96,9600
10549,10000,98,9800
10752,10000,99,9900
10069,10000,94,9400
10886,10000,111,11100
10816,10000,104,10400
10015,10000,94,9400
10267,10000,91,9100
10077,10000,73,7300
10739,10000,104,10400
10941,10000,99,9900
10524,10000,92,9200
10656,10000,104,10400
10576,10000,91,9100
10583,10000,88,8800
10279,10000,103,10300
10486,10000,90,9000
10513,10000,88,8800
10856,10000,82,8200
10261,10000,82,8200
10668,10000,113,11300
10490,10000,104,10400
10358,10000,95,9500
10633,10000,110,11000
10767,10000,113,11300
10978,10000,84,8400
10429,10000,98,9800
10821,10000,105,10500
10271,10000,109,10900
10497,10000,101,10100
10981,10000,95,9500
10356,10000,105,10500
10809,10000,90,9000
10965,10000,99,9900
10480,10000,103,10300
10292,10000,107,10700
10354,10000,106,10600
10639,10000,108,10800
10632,10000,102,10200
10923,10000,101,10100
10734,10000,117,11700
10104,10000,94,9400
10657,10000,122,12200
10126,10000,121,12100
10400,10000,96,9600
10344,10000,77,7700
10355,10000,111,11100
10310,10000,104,10400
10241,10000,92,9200
10403,10000,121,12100
10541,10000,108,10800
10867,10000,93,9300
10274,10000,109,10900
10901,10000,118,11800
10843,10000,96,9600
10326,10000,101,10100
10013,10000,125,12500
10418,10000,103,10300
10719,10000,104,10400
10335,10000,113,11300
