src_port,ground_truth,sampled,scaled
10331,1000,2,200
10818,1000,7,700
10523,1000,6,600
10989,1000,10,1000
10043,1000,6,600
10512,1000,4,400
10762,1000,3,300
10133,1000,7,700
10299,1000,6,600
10340,1000,6,600
10724,1000,6,600
10832,1000,4,400
10874,1000,9,900
10541,1000,8,800
10945,1000,12,1200
10233,1000,7,700
10297,1000,9,900
10582,1000,7,700
10369,1000,6,600
10555,1000,5,500
10887,1000,7,700
10961,1000,6,600
10119,1000,5,500
10347,1000,9,900
10654,1000,9,900
10298,1000,9,900
10414,1000,10,1000
10441,1000,7,700
10104,1000,7,700
10498,1000,12,1200
10602,1000,5,500
10014,1000,9,900
10371,1000,7,700
10745,1000,9,900
10931,1000,6,600
10142,1000,10,1000
10186,1000,9,900
10190,1000,6,600
10964,1000,6,600
10363,1000,9,900
10648,1000,6,600
10918,1000,11,1100
10333,1000,11,1100
10484,1000,9,900
10643,1000,9,900
10987,1000,8,800
10392,1000,4,400
10007,1000,7,700
10034,1000,11,1100
10552,1000,6,600
10627,1000,7,700
10680,1000,5,500
10218,1000,5,500
10318,1000,13,1300
10325,1000,12,1200
10102,1000,10,1000
10399,1000,8,800
10038,1000,15,1500
10711,1000,8,800
10008,1000,6,600
10322,1000,7,700
10618,1000,6,600
10421,1000,8,800
10293,1000,9,900
10978,1000,2,200
10036,1000,10,1000
10049,1000,13,1300
10926,1000,16,1600
10584,1000,6,600
10901,1000,12,1200
10998,1000,5,500
10052,1000,7,700
10109,1000,5,500
10212,1000,11,1100
10720,1000,7,700
10182,1000,15,1500
10803,1000,6,600
10438,1000,6,600
10193,1000,8,800
10968,1000,11,1100
10650,1000,14,1400
10671,1000,10,1000
10235,1000,15,1500
10063,1000,10,1000
10260,1000,9,900
10590,1000,8,800
10502,1000,10,1000
10563,1000,10,1000
10404,1000,10,1000
10768,1000,5,500
10200,1000,9,900
10430,1000,8,800
10437,1000,8,800
10733,1000,7,700
10609,1000,7,700
10565,1000,6,600
10644,1000,7,700
10907,1000,3,300
10594,1000,6,600
10819,1000,9,900
10728,1000,9,900
10878,1000,7,700
10046,1000,16,1600
10898,1000,5,500
10483,1000,12,1200
10020,1000,11,1100
10254,1000,6,600
10120,1000,9,900
10517,1000,11,1100
10236,1000,8,800
10638,1000,15,1500
10677,1000,5,500
10726,1000,8,800
10035,1000,8,800
10719,1000,9,900
10275,1000,9,900
10924,1000,6,600
10302,1000,11,1100
10714,1000,11,1100
10376,1000,10,1000
10385,1000,6,600
10844,1000,12,1200
10277,1000,9,900
10642,1000,9,900
10922,1000,8,800
10284,1000,10,1000
10488,1000,7,700
10220,1000,12,1200
10548,1000,5,500
10851,1000,6,600
10929,1000,10,1000
10781,1000,9,900
10292,1000,8,800
10871,1000,11,1100
10972,1000,7,700
10023,1000,8,800
10532,1000,10,1000
10834,1000,6,600
10886,1000,11,1100
10805,1000,11,1100
10248,1000,8,800
10572,1000,9,900
10607,1000,9,900
10027,1000,8,800
10311,1000,7,700
10662,1000,7,700
10424,1000,11,1100
10940,1000,9,900
10932,1000,12,1200
10459,1000,10,1000
10730,1000,15,1500
10060,1000,13,1300
10583,1000,11,1100
10155,1000,5,500
10160,1000,7,700
10076,1000,13,1300
10442,1000,4,400
10533,1000,10,1000
10632,1000,4,400
10006,1000,10,1000
10163,1000,4,400
10439,1000,5,500
10659,1000,10,1000
10758,1000,8,800
10798,1000,12,1200
10009,1000,10,1000
10367,1000,6,600
10542,1000,6,600
10981,1000,3,300
10313,1000,6,600
10859,1000,7,700
10739,1000,8,800
10135,1000,10,1000
10211,1000,11,1100
10431,1000,8,800
10757,1000,12,1200
10808,1000,7,700
10997,1000,6,600
10221,1000,6,600
10626,1000,5,500
10791,1000,8,800
10250,1000,8,800
10391,1000,13,1300
10213,1000,9,900
10717,1000,4,400
10078,1000,8,800
10446,1000,8,800
10454,1000,11,1100
10682,1000,11,1100
10690,1000,10,1000
10071,1000,10,1000
10826,1000,10,1000
10490,1000,13,1300
10509,1000,8,800
10301,1000,7,700
10199,1000,12,1200
10259,1000,7,700
10243,1000,5,500
10474,1000,9,900
10588,1000,12,1200
10857,1000,9,900
10291,1000,9,900
10309,1000,10,1000
10003,1000,10,1000
10611,1000,13,1300
10676,1000,9,900
10902,1000,7,700
10954,1000,9,900
10140,1000,10,1000
10396,1000,6,600
10181,1000,5,500
10360,1000,6,600
10361,1000,10,1000
10426,1000,8,800
10827,1000,12,1200
10875,1000,10,1000
10934,1000,12,1200
10930,1000,9,900
10152,1000,9,900
10511,1000,8,800
10664,1000,13,1300
10229,1000,17,1700
10258,1000,14,1400
10909,1000,11,1100
10206,1000,7,700
10716,1000,10,1000
10053,1000,6,600
10368,1000,4,400
10099,1000,9,900
10117,1000,7,700
10468,1000,10,1000
10706,1000,13,1300
10890,1000,12,1200
10073,1000,11,1100
10101,1000,8,800
10842,1000,11,1100
10107,1000,11,1100
10178,1000,8,800
10282,1000,15,1500
10016,1000,7,700
10280,1000,9,900
10566,1000,12,1200
10116,1000,13,1300
10606,1000,11,1100
10641,1000,10,1000
10666,1000,5,500
10707,1000,9,900
10957,1000,8,800
10679,1000,8,800
10261,1000,10,1000
10403,1000,13,1300
10425,1000,8,800
10889,1000,12,1200
10224,1000,13,1300
10879,1000,10,1000
10365,1000,11,1100
10685,1000,10,1000
10674,1000,6,600
10915,1000,11,1100
10963,1000,12,1200
10992,1000,10,1000
10862,1000,11,1100
10946,1000,11,1100
10145,1000,10,1000
10234,1000,6,600
10935,1000,5,500
10081,1000,9,900
10129,1000,7,700
10242,1000,6,600
10337,1000,8,800
10911,1000,9,900
10923,1000,10,1000
10085,1000,14,1400
10858,1000,11,1100
10943,1000,10,1000
10175,1000,11,1100
10226,1000,15,1500
10990,1000,11,1100
10070,1000,12,1200
10608,1000,8,800
10646,1000,12,1200
10096,1000,13,1300
10196,1000,11,1100
10324,1000,9,900
10372,1000,8,800
10436,1000,8,800
10491,1000,7,700
10534,1000,9,900
10545,1000,5,500
10633,1000,7,700
10658,1000,11,1100
10687,1000,8,800
10761,1000,5,500
10916,1000,12,1200
10984,1000,10,1000
10069,1000,8,800
10130,1000,12,1200
10670,1000,10,1000
10546,1000,6,600
10041,1000,18,1800
10303,1000,10,1000
10649,1000,19,1900
10971,1000,8,800
10408,1000,9,900
10021,1000,15,1500
10753,1000,9,900
10771,1000,10,1000
10172,1000,12,1200
10238,1000,9,900
10494,1000,9,900
10249,1000,10,1000
10308,1000,8,800
10958,1000,5,500
10198,1000,12,1200
10429,1000,7,700
10941,1000,5,500
10469,1000,8,800
10568,1000,15,1500
10810,1000,4,400
10103,1000,11,1100
10147,1000,13,1300
10576,1000,10,1000
10701,1000,10,1000
10713,1000,10,1000
10216,1000,11,1100
10379,1000,7,700
10515,1000,11,1100
10617,1000,13,1300
10111,1000,12,1200
10328,1000,7,700
10366,1000,9,900
10377,1000,5,500
10050,1000,9,900
10057,1000,10,1000
10064,1000,7,700
10356,1000,12,1200
10384,1000,11,1100
10521,1000,7,700
10575,1000,10,1000
10600,1000,6,600
10510,1000,5,500
10790,1000,7,700
10937,1000,4,400
10153,1000,8,800
10380,1000,13,1300
10519,1000,9,900
10616,1000,9,900
10058,1000,9,900
10150,1000,5,500
10748,1000,6,600
10917,1000,5,500
10736,1000,14,1400
10822,1000,7,700
10319,1000,9,900
10486,1000,7,700
10727,1000,15,1500
10983,1000,7,700
10267,1000,10,1000
10323,1000,15,1500
10412,1000,5,500
10571,1000,6,600
10789,1000,13,1300
10024,1000,17,1700
10137,1000,11,1100
10661,1000,10,1000
10750,1000,11,1100
10127,1000,10,1000
10287,1000,9,900
10304,1000,8,800
10245,1000,7,700
10362,1000,9,900
10449,1000,5,500
10668,1000,10,1000
10855,1000,10,1000
10872,1000,10,1000
10031,1000,13,1300
10144,1000,11,1100
10538,1000,7,700
10694,1000,11,1100
10132,1000,16,1600
10461,1000,14,1400
10560,1000,13,1300
10824,1000,12,1200
10868,1000,8,800
10017,1000,11,1100
10288,1000,7,700
10507,1000,5,500
10180,1000,11,1100
10359,1000,14,1400
10589,1000,11,1100
10544,1000,8,800
10686,1000,9,900
10689,1000,17,1700
10270,1000,10,1000
10445,1000,11,1100
10619,1000,8,800
10623,1000,8,800
10715,1000,9,900
10770,1000,8,800
10095,1000,9,900
10157,1000,11,1100
10793,1000,14,1400
10891,1000,11,1100
10530,1000,12,1200
10840,1000,9,900
10976,1000,13,1300
10419,1000,13,1300
10801,1000,18,1800
10604,1000,8,800
10985,1000,12,1200
10161,1000,9,900
10278,1000,12,1200
10344,1000,10,1000
10693,1000,12,1200
10996,1000,14,1400
10128,1000,12,1200
10209,1000,11,1100
10276,1000,14,1400
10381,1000,9,900
10792,1000,12,1200
10836,1000,8,800
10114,1000,8,800
10187,1000,8,800
10068,1000,14,1400
10158,1000,12,1200
10252,1000,5,500
10364,1000,10,1000
10244,1000,7,700
10543,1000,13,1300
10742,1000,6,600
10865,1000,7,700
10897,1000,8,800
10000,1000,12,1200
10039,1000,16,1600
10315,1000,13,1300
10335,1000,8,800
10504,1000,9,900
10952,1000,9,900
10044,1000,11,1100
10164,1000,8,800
10177,1000,10,1000
10394,1000,14,1400
10264,1000,13,1300
10493,1000,11,1100
10557,1000,13,1300
10624,1000,5,500
10794,1000,11,1100
10894,1000,6,600
10485,1000,11,1100
10678,1000,14,1400
10913,1000,11,1100
10026,1000,10,1000
10093,1000,10,1000
10283,1000,13,1300
10467,1000,8,800
10601,1000,9,900
10001,1000,12,1200
10028,1000,5,500
10156,1000,22,2200
10191,1000,11,1100
10268,1000,13,1300
10516,1000,9,900
10535,1000,13,1300
10692,1000,6,600
10777,1000,10,1000
10863,1000,5,500
10013,1000,9,900
10166,1000,10,1000
10735,1000,6,600
10281,1000,13,1300
10316,1000,7,700
10508,1000,12,1200
10579,1000,9,900
10731,1000,10,1000
10883,1000,4,400
10920,1000,13,1300
10084,1000,15,1500
10121,1000,9,900
10126,1000,11,1100
10317,1000,10,1000
10125,1000,9,900
10179,1000,4,400
10448,1000,9,900
10774,1000,9,900
10942,1000,5,500
10079,1000,11,1100
10219,1000,19,1900
10492,1000,6,600
10527,1000,10,1000
10744,1000,9,900
10797,1000,10,1000
10895,1000,5,500
10933,1000,10,1000
10980,1000,4,400
10904,1000,9,900
10433,1000,11,1100
10936,1000,6,600
10561,1000,9,900
10230,1000,12,1200
10709,1000,13,1300
10434,1000,12,1200
10066,1000,12,1200
10176,1000,12,1200
10835,1000,9,900
10636,1000,13,1300
10955,1000,7,700
10341,1000,4,400
10867,1000,8,800
10869,1000,10,1000
10112,1000,10,1000
10255,1000,10,1000
10389,1000,12,1200
10683,1000,14,1400
10077,1000,11,1100
10524,1000,12,1200
10665,1000,10,1000
10861,1000,10,1000
10864,1000,13,1300
10080,1000,7,700
10170,1000,6,600
10979,1000,12,1200
10122,1000,11,1100
10525,1000,12,1200
10782,1000,12,1200
10825,1000,4,400
10271,1000,10,1000
10388,1000,12,1200
10480,1000,12,1200
10537,1000,12,1200
10967,1000,6,600
10005,1000,10,1000
10059,1000,7,700
10143,1000,10,1000
10208,1000,15,1500
10305,1000,6,600
10481,1000,8,800
10592,1000,12,1200
10596,1000,12,1200
10977,1000,12,1200
10192,1000,10,1000
10464,1000,13,1300
10487,1000,6,600
10787,1000,16,1600
10959,1000,6,600
10240,1000,6,600
10370,1000,13,1300
10684,1000,9,900
10721,1000,8,800
10815,1000,7,700
10906,1000,14,1400
10171,1000,13,1300
10402,1000,10,1000
10473,1000,5,500
10655,1000,13,1300
10577,1000,10,1000
10657,1000,17,1700
10854,1000,8,800
10040,1000,8,800
10174,1000,14,1400
10339,1000,13,1300
10769,1000,15,1500
10828,1000,10,1000
10995,1000,7,700
10355,1000,8,800
10413,1000,10,1000
10622,1000,13,1300
10645,1000,7,700
10830,1000,11,1100
10880,1000,13,1300
10881,1000,13,1300
10919,1000,15,1500
10960,1000,9,900
10397,1000,5,500
10154,1000,9,900
10306,1000,14,1400
10332,1000,9,900
10639,1000,9,900
10108,1000,14,1400
10141,1000,9,900
10225,1000,10,1000
10295,1000,6,600
10398,1000,8,800
10518,1000,13,1300
10695,1000,6,600
10002,1000,7,700
10067,1000,7,700
10201,1000,13,1300
10300,1000,10,1000
10321,1000,6,600
10353,1000,14,1400
10440,1000,7,700
10536,1000,11,1100
10847,1000,10,1000
10982,1000,6,600
10030,1000,10,1000
10136,1000,5,500
10669,1000,10,1000
10806,1000,15,1500
10124,1000,12,1200
10765,1000,10,1000
10795,1000,14,1400
10814,1000,10,1000
10088,1000,8,800
10223,1000,9,900
10343,1000,15,1500
10452,1000,11,1100
10813,1000,9,900
10037,1000,11,1100
10100,1000,9,900
10386,1000,10,1000
10428,1000,11,1100
10663,1000,12,1200
10755,1000,12,1200
10667,1000,10,1000
10860,1000,7,700
10910,1000,12,1200
10010,1000,14,1400
10106,1000,4,400
10528,1000,9,900
10885,1000,10,1000
10993,1000,10,1000
10097,1000,12,1200
10113,1000,19,1900
10409,1000,14,1400
10420,1000,15,1500
10432,1000,14,1400
10489,1000,8,800
10578,1000,14,1400
10853,1000,6,600
10251,1000,14,1400
10167,1000,6,600
10520,1000,12,1200
10550,1000,12,1200
10585,1000,10,1000
10628,1000,14,1400
10653,1000,10,1000
10704,1000,9,900
10784,1000,14,1400
10829,1000,9,900
10845,1000,14,1400
10094,1000,8,800
10194,1000,13,1300
10444,1000,19,1900
10470,1000,11,1100
10564,1000,10,1000
10514,1000,18,1800
10595,1000,12,1200
10651,1000,9,900
10772,1000,7,700
10055,1000,8,800
10149,1000,13,1300
10378,1000,16,1600
10400,1000,7,700
10503,1000,5,500
10505,1000,11,1100
10558,1000,11,1100
10652,1000,7,700
10691,1000,11,1100
10848,1000,12,1200
10947,1000,8,800
10146,1000,7,700
10407,1000,12,1200
10307,1000,10,1000
10457,1000,9,900
10574,1000,18,1800
10725,1000,14,1400
10074,1000,12,1200
10110,1000,15,1500
10591,1000,10,1000
10061,1000,11,1100
10072,1000,8,800
10168,1000,11,1100
10286,1000,15,1500
10495,1000,9,900
10621,1000,9,900
10817,1000,5,500
10838,1000,8,800
10965,1000,14,1400
10118,1000,9,900
10453,1000,6,600
10478,1000,10,1000
10708,1000,6,600
10927,1000,10,1000
10210,1000,13,1300
10115,1000,11,1100
10269,1000,16,1600
10672,1000,9,900
10274,1000,9,900
10327,1000,10,1000
10465,1000,13,1300
10531,1000,8,800
10734,1000,9,900
10773,1000,11,1100
10820,1000,12,1200
10893,1000,14,1400
10188,1000,8,800
10416,1000,5,500
10025,1000,15,1500
10029,1000,11,1100
10450,1000,16,1600
10637,1000,11,1100
10767,1000,9,900
10705,1000,6,600
10877,1000,12,1200
10905,1000,15,1500
10131,1000,11,1100
10232,1000,5,500
10625,1000,15,1500
10776,1000,7,700
10778,1000,7,700
10896,1000,13,1300
10823,1000,6,600
10899,1000,16,1600
10012,1000,11,1100
10189,1000,12,1200
10466,1000,8,800
10763,1000,12,1200
10837,1000,14,1400
10884,1000,15,1500
10974,1000,13,1300
10215,1000,17,1700
10354,1000,8,800
10462,1000,11,1100
10475,1000,12,1200
10506,1000,14,1400
10675,1000,15,1500
10681,1000,12,1200
10741,1000,6,600
10796,1000,7,700
10900,1000,11,1100
10944,1000,12,1200
10953,1000,7,700
10228,1000,13,1300
10752,1000,13,1300
10866,1000,12,1200
10888,1000,10,1000
10018,1000,8,800
10083,1000,9,900
10195,1000,9,900
10458,1000,13,1300
10482,1000,12,1200
10540,1000,14,1400
10697,1000,12,1200
10786,1000,9,900
10011,1000,9,900
10345,1000,11,1100
10456,1000,9,900
10549,1000,7,700
10629,1000,12,1200
10688,1000,10,1000
10382,1000,11,1100
10522,1000,11,1100
10593,1000,11,1100
10597,1000,12,1200
10775,1000,14,1400
10800,1000,13,1300
10951,1000,13,1300
10051,1000,9,900
10162,1000,7,700
10418,1000,10,1000
10279,1000,12,1200
10383,1000,11,1100
10614,1000,9,900
10783,1000,7,700
10785,1000,11,1100
10804,1000,14,1400
10966,1000,10,1000
10165,1000,8,800
10395,1000,12,1200
10427,1000,6,600
10737,1000,11,1100
10045,1000,9,900
10443,1000,10,1000
10567,1000,14,1400
10988,1000,10,1000
10994,1000,13,1300
10033,1000,14,1400
10451,1000,11,1100
10573,1000,11,1100
10605,1000,9,900
10635,1000,9,900
10699,1000,10,1000
10712,1000,12,1200
10821,1000,14,1400
10849,1000,4,400
10870,1000,12,1200
10004,1000,11,1100
10062,1000,11,1100
10123,1000,11,1100
10151,1000,9,900
10159,1000,14,1400
10207,1000,8,800
10247,1000,15,1500
10358,1000,10,1000
10417,1000,11,1100
10500,1000,9,900
10598,1000,7,700
10634,1000,6,600
10640,1000,10,1000
10956,1000,13,1300
10086,1000,11,1100
10090,1000,10,1000
10263,1000,9,900
10338,1000,6,600
10373,1000,9,900
10390,1000,9,900
10393,1000,15,1500
10463,1000,14,1400
10556,1000,9,900
10134,1000,8,800
10290,1000,10,1000
10435,1000,17,1700
10553,1000,12,1200
10656,1000,12,1200
10759,1000,12,1200
10876,1000,11,1100
10939,1000,10,1000
10970,1000,14,1400
10015,1000,13,1300
10185,1000,11,1100
10205,1000,8,800
10239,1000,3,300
10253,1000,9,900
10455,1000,13,1300
10599,1000,12,1200
10718,1000,11,1100
10749,1000,11,1100
10779,1000,12,1200
10948,1000,7,700
10285,1000,8,800
10387,1000,11,1100
10447,1000,12,1200
10559,1000,11,1100
10660,1000,12,1200
10738,1000,14,1400
