src_port,ground_truth,sampled,scaled
10875,10000,1,1000
10196,10000,1,1000
10487,10000,1,1000
10483,10000,1,1000
10924,10000,1,1000
10516,10000,1,1000
10084,10000,1,1000
10233,10000,1,1000
10926,10000,1,1000
10676,10000,1,1000
10854,10000,1,1000
10175,10000,1,1000
10490,10000,1,1000
10116,10000,1,1000
10272,10000,1,1000
10646,10000,1,1000
10479,10000,1,1000
10907,10000,1,1000
10054,10000,1,1000
10331,10000,1,1000
10489,10000,1,1000
10057,10000,1,1000
10111,10000,1,1000
10673,10000,1,1000
10139,10000,1,1000
10595,10000,1,1000
10044,10000,1,1000
10696,10000,2,2000
10144,10000,1,1000
10662,10000,1,1000
10338,10000,2,2000
10832,10000,1,1000
10948,10000,2,2000
10685,10000,1,1000
10021,10000,1,1000
10067,10000,1,1000
10234,10000,1,1000
10129,10000,2,2000
10760,10000,1,1000
10350,10000,1,1000
10582,10000,2,2000
10357,10000,1,1000
10565,10000,1,1000
10181,10000,1,1000
10846,10000,2,2000
10182,10000,1,1000
10884,10000,1,1000
10145,10000,1,1000
10973,10000,1,1000
10433,10000,1,1000
10635,10000,1,1000
10726,10000,1,1000
10619,10000,1,1000
10736,10000,1,1000
10298,10000,1,1000
10848,10000,1,1000
10698,10000,1,1000
10610,10000,2,2000
10140,10000,1,1000
10561,10000,1,1000
10988,10000,1,1000
10621,10000,1,1000
10725,10000,2,2000
10306,10000,1,1000
10618,10000,1,1000
10344,10000,3,3000
10708,10000,1,1000
10452,10000,1,1000
10841,10000,2,2000
10002,10000,1,1000
10190,10000,3,3000
10007,10000,1,1000
10679,10000,1,1000
10012,10000,1,1000
10628,10000,1,1000
10006,10000,2,2000
10035,10000,2,2000
10043,10000,1,1000
10680,10000,1,1000
10796,10000,2,2000
10400,10000,2,2000
10808,10000,2,2000
10916,10000,2,2000
10310,10000,1,1000
10453,10000,1,1000
10944,10000,1,1000
10576,10000,1,1000
10800,10000,2,2000
10906,10000,1,1000
10153,10000,2,2000
10761,10000,2,2000
10484,10000,2,2000
10746,10000,1,1000
10194,10000,1,1000
10368,10000,1,1000
10508,10000,1,1000
10772,10000,1,1000
10198,10000,1,1000
10543,10000,1,1000
10744,10000,2,2000
10594,10000,1,1000
10853,10000,1,1000
10951,10000,3,3000
10323,10000,1,1000
10436,10000,2,2000
10765,10000,3,3000
10934,10000,1,1000
10695,10000,1,1000
10383,10000,1,1000
10375,10000,1,1000
10899,10000,2,2000
10070,10000,1,1000
10805,10000,2,2000
10509,10000,2,2000
10432,10000,1,1000
10102,10000,1,1000
10064,10000,1,1000
10219,10000,1,1000
10322,10000,1,1000
10136,10000,1,1000
10885,10000,2,2000
10118,10000,2,2000
10142,10000,1,1000
10167,10000,1,1000
10438,10000,1,1000
10300,10000,2,2000
10229,10000,2,2000
10592,10000,2,2000
10143,10000,2,2000
10894,10000,3,3000
10874,10000,2,2000
10971,10000,1,1000
10614,10000,1,1000
10922,10000,1,1000
10192,10000,1,1000
10492,10000,2,2000
10900,10000,1,1000
10448,10000,1,1000
10109,10000,1,1000
10691,10000,4,4000
10114,10000,1,1000
10370,10000,1,1000
10579,10000,3,3000
10987,10000,2,2000
10252,10000,2,2000
10439,10000,3,3000
10958,10000,1,1000
10905,10000,2,2000
10249,10000,1,1000
10308,10000,3,3000
10656,10000,1,1000
10078,10000,1,1000
10305,10000,2,2000
10721,10000,3,3000
10077,10000,1,1000
10557,10000,2,2000
10475,10000,2,2000
10843,10000,2,2000
10164,10000,1,1000
10568,10000,1,1000
10653,10000,1,1000
10155,10000,2,2000
10677,10000,2,2000
10644,10000,4,4000
10410,10000,1,1000
10737,10000,1,1000
10472,10000,3,3000
10238,10000,1,1000
10284,10000,2,2000
10792,10000,2,2000
10457,10000,2,2000
10546,10000,3,3000
10004,10000,2,2000
10313,10000,1,1000
10442,10000,2,2000
10081,10000,2,2000
10347,10000,2,2000
10045,10000,4,4000
10612,10000,1,1000
10872,10000,2,2000
10616,10000,2,2000
10048,10000,3,3000
10304,10000,1,1000
10585,10000,4,4000
10703,10000,2,2000
10131,10000,2,2000
10969,10000,1,1000
10087,10000,1,1000
10533,10000,2,2000
10071,10000,1,1000
10577,10000,1,1000
10334,10000,2,2000
10348,10000,1,1000
10539,10000,1,1000
10876,10000,1,1000
10123,10000,1,1000
10403,10000,1,1000
10556,10000,2,2000
10966,10000,1,1000
10399,10000,2,2000
10458,10000,6,6000
10920,10000,1,1000
10226,10000,3,3000
10729,10000,3,3000
10217,10000,2,2000
10827,10000,4,4000
10649,10000,2,2000
10269,10000,1,1000
10886,10000,3,3000
10411,10000,3,3000
10842,10000,4,4000
10246,10000,3,3000
10297,10000,3,3000
10372,10000,4,4000
10931,10000,2,2000
10751,10000,1,1000
10978,10000,1,1000
10826,10000,1,1000
10660,10000,1,1000
10353,10000,1,1000
10488,10000,2,2000
10946,10000,1,1000
10955,10000,2,2000
10727,10000,1,1000
10507,10000,3,3000
10341,10000,2,2000
10861,10000,2,2000
10277,10000,2,2000
10387,10000,2,2000
10431,10000,2,2000
10952,10000,2,2000
10149,10000,3,3000
10390,10000,2,2000
10549,10000,1,1000
10286,10000,1,1000
10470,10000,2,2000
10624,10000,1,1000
10864,10000,3,3000
