src_port,ground_truth,sampled,scaled
10544,1000,2,200
10407,1000,7,700
10256,1000,4,400
10259,1000,6,600
10030,1000,7,700
10132,1000,7,700
10185,1000,8,800
10186,1000,6,600
10206,1000,6,600
10586,1000,5,500
10302,1000,6,600
10954,1000,7,700
10935,1000,7,700
10400,1000,5,500
10399,1000,12,1200
10066,1000,7,700
10851,1000,8,800
10879,1000,5,500
10437,1000,6,600
10795,1000,8,800
10448,1000,4,400
10499,1000,7,700
10610,1000,4,400
10127,1000,6,600
10244,1000,8,800
10519,1000,4,400
10837,1000,9,900
10327,1000,8,800
10642,1000,7,700
10619,1000,5,500
10281,1000,6,600
10577,1000,8,800
10150,1000,6,600
10190,1000,6,600
10252,1000,4,400
10264,1000,5,500
10850,1000,6,600
10967,1000,9,900
10939,1000,2,200
10848,1000,9,900
10119,1000,7,700
10570,1000,5,500
10498,1000,3,300
10451,1000,6,600
10308,1000,7,700
10674,1000,4,400
10312,1000,10,1000
10134,1000,10,1000
10828,1000,7,700
10226,1000,8,800
10140,1000,7,700
10715,1000,9,900
10646,1000,5,500
10403,1000,9,900
10157,1000,16,1600
10005,1000,9,900
10204,1000,7,700
10198,1000,6,600
10384,1000,8,800
10506,1000,5,500
10195,1000,10,1000
10011,1000,14,1400
10775,1000,6,600
10043,1000,5,500
10164,1000,8,800
10659,1000,12,1200
10158,1000,8,800
10441,1000,9,900
10063,1000,4,400
10082,1000,7,700
10230,1000,6,600
10634,1000,7,700
10249,1000,7,700
10521,1000,6,600
10735,1000,14,1400
10319,1000,8,800
10683,1000,11,1100
10590,1000,5,500
10120,1000,11,1100
10177,1000,7,700
10513,1000,12,1200
10880,1000,8,800
10817,1000,10,1000
10006,1000,8,800
10664,1000,9,900
10592,1000,8,800
10749,1000,13,1300
10888,1000,9,900
10205,1000,7,700
10347,1000,6,600
10299,1000,9,900
10724,1000,10,1000
10989,1000,11,1100
10159,1000,11,1100
10397,1000,9,900
10792,1000,6,600
10338,1000,15,1500
10056,1000,10,1000
10490,1000,11,1100
10213,1000,8,800
