src_port,ground_truth,sampled,scaled
10737,10000,26,2600
10757,10000,84,8400
10713,10000,102,10200
10069,10000,73,7300
10328,10000,75,7500
10580,10000,96,9600
10776,10000,107,10700
10575,10000,109,10900
10953,10000,110,11000
10891,10000,94,9400
10663,10000,111,11100
10635,10000,105,10500
10009,10000,108,10800
10282,10000,103,10300
10560,10000,91,9100
10939,10000,99,9900
10917,10000,90,9000
10190,10000,102,10200
10970,10000,112,11200
10481,10000,99,9900
10398,10000,95,9500
10612,10000,90,9000
10615,10000,102,10200
10228,10000,91,9100
10913,10000,122,12200
10771,10000,84,8400
10661,10000,80,8000
10033,10000,81,8100
10492,10000,104,10400
10825,10000,83,8300
10516,10000,113,11300
10076,10000,81,8100
10275,10000,94,9400
10815,10000,99,9900
10442,10000,95,9500
10299,10000,97,9700
10908,10000,77,7700
10632,10000,108,10800
10835,10000,90,9000
10503,10000,108,10800
10986,10000,106,10600
10431,10000,101,10100
10991,10000,91,9100
10888,10000,79,7900
10441,10000,89,8900
10400,10000,103,10300
10436,10000,91,9100
10185,10000,92,9200
10335,10000,114,11400
10949,10000,105,10500
10679,10000,103,10300
10079,10000,93,9300
10935,10000,81,8100
10861,10000,94,9400
10260,10000,90,9000
10409,10000,101,10100
10707,10000,111,11100
10931,10000,96,9600
10396,10000,105,10500
10703,10000,94,9400
10493,10000,102,10200
10769,10000,99,9900
10674,10000,85,8500
10981,10000,94,9400
10565,10000,102,10200
10499,10000,106,10600
10181,10000,88,8800
10997,10000,119,11900
10809,10000,99,9900
10014,10000,87,8700
10534,10000,80,8000
10344,10000,93,9300
10539,10000,106,10600
10821,10000,85,8500
10656,10000,109,10900
10759,10000,99,9900
10629,10000,83,8300
10217,10000,104,10400
10636,10000,89,8900
10966,10000,121,12100
10261,10000,91,9100
10779,10000,105,10500
10174,10000,101,10100
10982,10000,110,11000
10532,10000,85,8500
10308,10000,107,10700
10183,10000,103,10300
10756,10000,120,12000
10215,10000,111,11100
10514,10000,104,10400
10184,10000,106,10600
10368,10000,107,10700
10198,10000,104,10400
10558,10000,86,8600
10104,10000,112,11200
10716,10000,107,10700
10318,10000,84,8400
10273,10000,91,9100
10145,10000,107,10700
10616,10000,114,11400
10446,10000,101,10100
10377,10000,103,10300
10345,10000,96,9600
10774,10000,86,8600
10836,10000,97,9700
10572,10000,95,9500
10989,10000,92,9200
10687,10000,108,10800
10967,10000,103,10300
10130,10000,114,11400
10876,10000,96,9600
10459,10000,98,9800
10238,10000,91,9100
10892,10000,109,10900
10316,10000,106,10600
10060,10000,93,9300
10430,10000,119,11900
10327,10000,112,11200
10736,10000,81,8100
10480,10000,109,10900
10958,10000,102,10200
10693,10000,107,10700
10292,10000,102,10200
10169,10000,100,10000
10390,10000,116,11600
10473,10000,73,7300
10627,10000,96,9600
10875,10000,104,10400
10522,10000,95,9500
10723,10000,85,8500
10902,10000,99,9900
10734,10000,92,9200
10676,10000,96,9600
10952,10000,93,9300
10143,10000,101,10100
10897,10000,92,9200
10111,10000,112,11200
10147,10000,102,10200
10817,10000,85,8500
10454,10000,102,10200
10521,10000,103,10300
10623,10000,99,9900
10739,10000,91,9100
10548,10000,101,10100
10387,10000,95,9500
10435,10000,90,9000
10270,10000,101,10100
10331,10000,105,10500
10990,10000,93,9300
10796,10000,86,8600
10416,10000,94,9400
10355,10000,107,10700
10154,10000,102,10200
10437,10000,102,10200
10186,10000,106,10600
10280,10000,96,9600
10555,10000,99,9900
10265,10000,92,9200
10605,10000,113,11300
10032,10000,96,9600
10191,10000,101,10100
10824,10000,114,11400
10811,10000,80,8000
10083,10000,106,10600
10457,10000,109,10900
10839,10000,112,11200
10494,10000,102,10200
10529,10000,111,11100
10689,10000,98,9800
10024,10000,113,11300
10508,10000,103,10300
10027,10000,118,11800
10945,10000,80,8000
10016,10000,102,10200
10144,10000,98,9800
10233,10000,91,9100
10625,10000,111,11100
10659,10000,112,11200
10552,10000,84,8400
10370,10000,90,9000
10194,10000,101,10100
10603,10000,95,9500
10452,10000,96,9600
10865,10000,87,8700
10044,10000,108,10800
10772,10000,82,8200
10833,10000,88,8800
10234,10000,92,9200
10188,10000,117,11700
10140,10000,110,11000
10325,10000,87,8700
10517,10000,102,10200
10259,10000,109,10900
10047,10000,102,10200
10253,10000,100,10000
10337,10000,111,11100
10749,10000,98,9800
10279,10000,95,9500
10397,10000,98,9800
10323,10000,104,10400
10542,10000,107,10700
10720,10000,76,7600
10806,10000,106,10600
10873,10000,117,11700
10547,10000,101,10100
10855,10000,107,10700
10353,10000,87,8700
10586,10000,85,8500
10601,10000,97,9700
10697,10000,76,7600
10669,10000,109,10900
10746,10000,94,9400
10785,10000,92,9200
10461,10000,112,11200
10544,10000,129,12900
10287,10000,119,11900
10475,10000,105,10500
10482,10000,106,10600
10559,10000,103,10300
10034,10000,93,9300
10866,10000,96,9600
10906,10000,97,9700
10761,10000,97,9700
10515,10000,112,11200
10554,10000,91,9100
10800,10000,100,10000
10272,10000,109,10900
10380,10000,112,11200
10472,10000,94,9400
10711,10000,98,9800
10484,10000,87,8700
10043,10000,101,10100
10078,10000,106,10600
10367,10000,111,11100
10596,10000,95,9500
10065,10000,106,10600
10192,10000,91,9100
10880,10000,105,10500
10497,10000,88,8800
10692,10000,96,9600
10844,10000,113,11300
10834,10000,108,10800
10067,10000,102,10200
10391,10000,80,8000
10005,10000,113,11300
10760,10000,105,10500
10137,10000,102,10200
10660,10000,90,9000
10464,10000,89,8900
10579,10000,89,8900
10942,10000,99,9900
10309,10000,99,9900
10350,10000,105,10500
10695,10000,111,11100
10812,10000,98,9800
10890,10000,97,9700
10264,10000,103,10300
10543,10000,109,10900
10322,10000,84,8400
10536,10000,87,8700
10848,10000,117,11700
10062,10000,94,9400
10393,10000,82,8200
10507,10000,100,10000
10877,10000,102,10200
10845,10000,88,8800
10609,10000,97,9700
10726,10000,89,8900
10082,10000,105,10500
10289,10000,120,12000
10657,10000,99,9900
10740,10000,101,10100
10095,10000,113,11300
10359,10000,98,9800
10614,10000,111,11100
10968,10000,112,11200
10664,10000,98,9800
10041,10000,101,10100
10728,10000,84,8400
10677,10000,116,11600
10938,10000,102,10200
10678,10000,110,11000
10685,10000,87,8700
10206,10000,100,10000
10885,10000,89,8900
10946,10000,109,10900
10029,10000,93,9300
10128,10000,102,10200
10735,10000,89,8900
10266,10000,95,9500
10294,10000,107,10700
10313,10000,116,11600
10814,10000,103,10300
10977,10000,81,8100
10010,10000,104,10400
10500,10000,98,9800
10807,10000,110,11000
10887,10000,116,11600
10993,10000,101,10100
10212,10000,105,10500
10383,10000,99,9900
10992,10000,104,10400
10386,10000,97,9700
10964,10000,101,10100
10203,10000,108,10800
10662,10000,96,9600
10773,10000,101,10100
10898,10000,92,9200
10284,10000,80,8000
10139,10000,97,9700
10551,10000,104,10400
10360,10000,109,10900
10019,10000,106,10600
10418,10000,93,9300
10742,10000,110,11000
10820,10000,85,8500
10905,10000,103,10300
10204,10000,93,9300
10324,10000,97,9700
10407,10000,95,9500
10458,10000,111,11100
10622,10000,89,8900
10631,10000,90,9000
10668,10000,79,7900
10229,10000,88,8800
10767,10000,112,11200
10577,10000,104,10400
10884,10000,101,10100
10159,10000,95,9500
10477,10000,98,9800
10569,10000,115,11500
10142,10000,106,10600
10195,10000,97,9700
10208,10000,91,9100
10256,10000,114,11400
10371,10000,87,8700
10725,10000,118,11800
10804,10000,96,9600
10257,10000,106,10600
10764,10000,96,9600
10985,10000,98,9800
10523,10000,99,9900
10556,10000,100,10000
10722,10000,94,9400
10859,10000,93,9300
10791,10000,97,9700
10975,10000,95,9500
10093,10000,66,6600
10498,10000,100,10000
10540,10000,111,11100
10593,10000,112,11200
10775,10000,111,11100
10780,10000,108,10800
10822,10000,108,10800
10153,10000,94,9400
10251,10000,88,8800
10267,10000,111,11100
10340,10000,110,11000
10646,10000,116,11600
10717,10000,93,9300
10056,10000,95,9500
10166,10000,109,10900
10667,10000,115,11500
10852,10000,97,9700
10392,10000,94,9400
10438,10000,95,9500
10680,10000,87,8700
10227,10000,101,10100
10349,10000,99,9900
10658,10000,117,11700
10826,10000,96,9600
10840,10000,114,11400
10961,10000,117,11700
10549,10000,102,10200
10937,10000,103,10300
10157,10000,103,10300
10210,10000,112,11200
10401,10000,99,9900
10842,10000,109,10900
10847,10000,84,8400
10853,10000,99,9900
10052,10000,108,10800
10058,10000,93,9300
10469,10000,80,8000
10637,10000,102,10200
10782,10000,117,11700
10987,10000,119,11900
10151,10000,106,10600
10588,10000,117,11700
10057,10000,95,9500
10108,10000,88,8800
10173,10000,84,8400
10333,10000,111,11100
10741,10000,119,11900
10948,10000,107,10700
10136,10000,92,9200
10141,10000,93,9300
10364,10000,97,9700
10895,10000,114,11400
10012,10000,102,10200
10537,10000,86,8600
10651,10000,105,10500
10710,10000,115,11500
10015,10000,117,11700
10250,10000,102,10200
10705,10000,126,12600
10277,10000,85,8500
10422,10000,88,8800
10103,10000,113,11300
10395,10000,99,9900
10417,10000,103,10300
10594,10000,97,9700
10291,10000,81,8100
10673,10000,98,9800
10031,10000,91,9100
10152,10000,116,11600
10576,10000,97,9700
10883,10000,90,9000
10914,10000,131,13100
10018,10000,94,9400
10038,10000,101,10100
10854,10000,118,11800
10415,10000,96,9600
10074,10000,98,9800
10488,10000,89,8900
10448,10000,100,10000
10511,10000,107,10700
10571,10000,88,8800
10583,10000,103,10300
10120,10000,107,10700
10116,10000,104,10400
10557,10000,99,9900
10762,10000,97,9700
10050,10000,117,11700
10425,10000,124,12400
10426,10000,89,8900
10846,10000,105,10500
10110,10000,110,11000
10334,10000,109,10900
10731,10000,96,9600
10080,10000,110,11000
10338,10000,110,11000
10373,10000,89,8900
10758,10000,94,9400
10790,10000,83,8300
10171,10000,103,10300
10223,10000,116,11600
10682,10000,104,10400
10712,10000,90,9000
10858,10000,111,11100
10115,10000,104,10400
10193,10000,105,10500
10640,10000,92,9200
10329,10000,97,9700
10681,10000,121,12100
10879,10000,108,10800
10306,10000,110,11000
10911,10000,122,12200
10258,10000,101,10100
10495,10000,90,9000
10584,10000,113,11300
10059,10000,100,10000
10216,10000,108,10800
10384,10000,92,9200
10816,10000,93,9300
10097,10000,102,10200
10187,10000,101,10100
10201,10000,125,12500
10242,10000,101,10100
10451,10000,106,10600
10117,10000,100,10000
10121,10000,105,10500
10158,10000,104,10400
