src_port,ground_truth,sampled,scaled
10764,10000,88,8800
10321,10000,87,8700
10451,10000,81,8100
10395,10000,116,11600
10863,10000,116,11600
10846,10000,85,8500
10394,10000,94,9400
10468,10000,98,9800
10445,10000,81,8100
10530,10000,97,9700
10736,10000,97,9700
10018,10000,99,9900
10193,10000,103,10300
10602,10000,111,11100
10702,10000,91,9100
10652,10000,112,11200
10654,10000,114,11400
10740,10000,90,9000
10625,10000,106,10600
10199,10000,86,8600
10168,10000,91,9100
10489,10000,96,9600
10720,10000,92,9200
10949,10000,97,9700
10349,10000,94,9400
10597,10000,101,10100
10477,10000,90,9000
10247,10000,103,10300
10725,10000,90,9000
10545,10000,88,8800
10828,10000,101,10100
10374,10000,84,8400
10629,10000,108,10800
10991,10000,110,11000
10019,10000,101,10100
10822,10000,93,9300
10485,10000,102,10200
10753,10000,107,10700
10911,10000,98,9800
10232,10000,101,10100
10385,10000,93,9300
10995,10000,102,10200
10453,10000,119,11900
10751,10000,88,8800
10278,10000,92,9200
10976,10000,110,11000
10993,10000,102,10200
10091,10000,108,10800
10842,10000,100,10000
10309,10000,105,10500
10122,10000,102,10200
10692,10000,112,11200
10786,10000,98,9800
10162,10000,90,9000
10213,10000,82,8200
10930,10000,88,8800
10011,10000,94,9400
10729,10000,104,10400
10332,10000,91,9100
10393,10000,96,9600
10804,10000,98,9800
10407,10000,93,9300
10884,10000,101,10100
10096,10000,91,9100
10055,10000,99,9900
10706,10000,104,10400
10014,10000,98,9800
10290,10000,102,10200
10782,10000,119,11900
10090,10000,95,9500
10492,10000,96,9600
10311,10000,98,9800
10756,10000,97,9700
10570,10000,98,9800
10147,10000,90,9000
10924,10000,82,8200
10988,10000,90,9000
10660,10000,85,8500
10116,10000,113,11300
10586,10000,108,10800
10383,10000,90,9000
10649,10000,91,9100
10141,10000,79,7900
10079,10000,95,9500
10659,10000,116,11600
10737,10000,106,10600
10839,10000,93,9300
10757,10000,119,11900
10175,10000,99,9900
10072,10000,99,9900
10237,10000,95,9500
10416,10000,110,11000
10568,10000,114,11400
10439,10000,105,10500
10944,10000,100,10000
10536,10000,102,10200
10115,10000,109,10900
10231,10000,80,8000
10936,10000,113,11300
10495,10000,104,10400
10291,10000,90,9000
10087,10000,101,10100
10950,10000,90,9000
10174,10000,88,8800
10973,10000,106,10600
10856,10000,110,11000
10581,10000,99,9900
10750,10000,115,11500
10020,10000,101,10100
10887,10000,102,10200
10540,10000,104,10400
10742,10000,97,9700
10843,10000,91,9100
10228,10000,97,9700
10245,10000,99,9900
10547,10000,99,9900
10714,10000,105,10500
