src_port,ground_truth,sampled,scaled
10475,10000,1,1000
10643,10000,1,1000
10086,10000,1,1000
10609,10000,1,1000
10789,10000,1,1000
10668,10000,2,2000
10780,10000,1,1000
10510,10000,1,1000
10369,10000,1,1000
10776,10000,1,1000
10976,10000,1,1000
10868,10000,1,1000
10504,10000,1,1000
10718,10000,1,1000
10105,10000,1,1000
10137,10000,1,1000
10516,10000,1,1000
10360,10000,1,1000
10139,10000,1,1000
10941,10000,1,1000
10622,10000,1,1000
10747,10000,1,1000
10819,10000,1,1000
10513,10000,1,1000
10945,10000,1,1000
10886,10000,2,2000
10920,10000,1,1000
10742,10000,1,1000
10452,10000,1,1000
10460,10000,1,1000
10584,10000,1,1000
10791,10000,1,1000
10350,10000,1,1000
10726,10000,1,1000
10252,10000,1,1000
10229,10000,1,1000
10632,10000,1,1000
10812,10000,1,1000
10827,10000,1,1000
10357,10000,1,1000
10304,10000,1,1000
10425,10000,1,1000
10284,10000,1,1000
10661,10000,1,1000
10979,10000,1,1000
10880,10000,1,1000
10494,10000,1,1000
10318,10000,2,2000
10811,10000,2,2000
10399,10000,1,1000
10544,10000,1,1000
10288,10000,1,1000
10515,10000,1,1000
10818,10000,1,1000
10550,10000,2,2000
10689,10000,2,2000
10706,10000,1,1000
10598,10000,1,1000
10110,10000,1,1000
10793,10000,1,1000
10499,10000,1,1000
10828,10000,1,1000
10471,10000,1,1000
10308,10000,1,1000
10904,10000,1,1000
10011,10000,1,1000
10275,10000,1,1000
10467,10000,1,1000
10717,10000,2,2000
10708,10000,1,1000
10303,10000,2,2000
10117,10000,1,1000
10441,10000,1,1000
10531,10000,1,1000
10740,10000,1,1000
10337,10000,1,1000
10301,10000,1,1000
10016,10000,2,2000
10152,10000,1,1000
10075,10000,2,2000
10593,10000,1,1000
10320,10000,2,2000
10179,10000,2,2000
10205,10000,2,2000
10572,10000,2,2000
10324,10000,1,1000
10058,10000,1,1000
10394,10000,1,1000
10762,10000,1,1000
10690,10000,1,1000
10692,10000,2,2000
10271,10000,1,1000
10079,10000,1,1000
10426,10000,1,1000
10236,10000,2,2000
10799,10000,2,2000
10588,10000,1,1000
10076,10000,1,1000
10215,10000,2,2000
10567,10000,1,1000
10181,10000,1,1000
10970,10000,1,1000
10963,10000,2,2000
10002,10000,1,1000
10375,10000,1,1000
10641,10000,3,3000
10189,10000,2,2000
10290,10000,2,2000
10879,10000,3,3000
10140,10000,2,2000
10021,10000,1,1000
10294,10000,2,2000
10525,10000,1,1000
10817,10000,1,1000
10810,10000,1,1000
10176,10000,3,3000
10363,10000,3,3000
10063,10000,1,1000
10366,10000,1,1000
10113,10000,1,1000
10508,10000,1,1000
10685,10000,1,1000
10645,10000,2,2000
10561,10000,2,2000
10929,10000,1,1000
10522,10000,2,2000
10007,10000,3,3000
10128,10000,1,1000
10365,10000,2,2000
10126,10000,2,2000
10077,10000,1,1000
10671,10000,1,1000
10760,10000,2,2000
10826,10000,3,3000
10192,10000,1,1000
10410,10000,3,3000
10012,10000,1,1000
10085,10000,1,1000
10852,10000,2,2000
10663,10000,2,2000
10121,10000,1,1000
10796,10000,3,3000
10505,10000,3,3000
