src_port,ground_truth,sampled,scaled
10305,1000,4,400
10775,1000,3,300
10957,1000,7,700
10969,1000,8,800
10010,1000,6,600
10893,1000,7,700
10674,1000,12,1200
10467,1000,6,600
10626,1000,5,500
10923,1000,5,500
10383,1000,7,700
10212,1000,6,600
10986,1000,10,1000
10463,1000,5,500
10534,1000,8,800
10270,1000,9,900
10772,1000,5,500
10475,1000,9,900
10144,1000,10,1000
10065,1000,7,700
10710,1000,8,800
10719,1000,5,500
10619,1000,6,600
10073,1000,10,1000
10642,1000,6,600
10085,1000,7,700
10425,1000,10,1000
10161,1000,8,800
10462,1000,10,1000
10364,1000,6,600
10072,1000,7,700
10612,1000,12,1200
10406,1000,5,500
10260,1000,8,800
10493,1000,5,500
10460,1000,9,900
10782,1000,6,600
10670,1000,5,500
10975,1000,14,1400
10120,1000,6,600
10664,1000,6,600
10420,1000,8,800
10860,1000,12,1200
10543,1000,7,700
10905,1000,5,500
10152,1000,8,800
10269,1000,4,400
10349,1000,6,600
10301,1000,2,200
10924,1000,7,700
10643,1000,9,900
10520,1000,10,1000
10105,1000,4,400
10981,1000,3,300
10095,1000,6,600
10556,1000,6,600
10937,1000,7,700
10665,1000,4,400
10817,1000,5,500
10887,1000,6,600
10830,1000,9,900
10358,1000,6,600
10380,1000,6,600
10075,1000,5,500
10087,1000,10,1000
10644,1000,9,900
10693,1000,14,1400
10190,1000,10,1000
10376,1000,6,600
10422,1000,11,1100
10126,1000,7,700
10278,1000,6,600
10758,1000,6,600
10942,1000,7,700
10774,1000,8,800
10922,1000,11,1100
10592,1000,15,1500
10812,1000,11,1100
10877,1000,9,900
10208,1000,6,600
10597,1000,10,1000
10370,1000,8,800
10415,1000,6,600
10484,1000,8,800
10293,1000,9,900
10284,1000,8,800
10272,1000,10,1000
10820,1000,3,300
10018,1000,7,700
10822,1000,17,1700
10524,1000,8,800
10656,1000,14,1400
10062,1000,7,700
10202,1000,13,1300
10580,1000,11,1100
10634,1000,13,1300
10341,1000,4,400
10545,1000,10,1000
10041,1000,12,1200
10688,1000,8,800
10221,1000,9,900
10829,1000,8,800
10201,1000,15,1500
10155,1000,11,1100
10082,1000,10,1000
10821,1000,9,900
10495,1000,7,700
10447,1000,10,1000
10187,1000,15,1500
10604,1000,4,400
10022,1000,6,600
10351,1000,12,1200
10590,1000,9,900
10009,1000,12,1200
10294,1000,6,600
10788,1000,7,700
10289,1000,4,400
10074,1000,8,800
10477,1000,16,1600
10608,1000,10,1000
10760,1000,7,700
10434,1000,11,1100
10605,1000,8,800
10732,1000,7,700
10581,1000,6,600
10557,1000,5,500
10049,1000,5,500
10566,1000,7,700
10547,1000,8,800
10833,1000,9,900
10573,1000,9,900
10749,1000,7,700
10934,1000,9,900
10438,1000,11,1100
10398,1000,10,1000
10631,1000,9,900
10713,1000,9,900
10078,1000,9,900
10836,1000,13,1300
10283,1000,9,900
10290,1000,9,900
10765,1000,16,1600
10321,1000,6,600
10636,1000,5,500
10408,1000,9,900
10211,1000,11,1100
10476,1000,11,1100
10730,1000,8,800
10741,1000,8,800
10337,1000,9,900
10687,1000,12,1200
10902,1000,12,1200
10340,1000,8,800
10354,1000,6,600
10906,1000,12,1200
10485,1000,21,2100
10584,1000,11,1100
10783,1000,12,1200
10001,1000,12,1200
10045,1000,5,500
10764,1000,14,1400
10708,1000,13,1300
10286,1000,6,600
10104,1000,13,1300
10092,1000,10,1000
10035,1000,9,900
10332,1000,10,1000
10998,1000,10,1000
10745,1000,14,1400
10753,1000,6,600
10881,1000,9,900
10033,1000,13,1300
10053,1000,11,1100
10682,1000,8,800
10696,1000,8,800
10684,1000,12,1200
10949,1000,9,900
10385,1000,7,700
10491,1000,8,800
10458,1000,8,800
10239,1000,9,900
10448,1000,10,1000
10916,1000,14,1400
10004,1000,7,700
10000,1000,15,1500
10718,1000,6,600
10810,1000,10,1000
10683,1000,18,1800
10856,1000,6,600
10560,1000,14,1400
10832,1000,4,400
10039,1000,10,1000
10386,1000,8,800
10548,1000,5,500
10754,1000,11,1100
10997,1000,9,900
10803,1000,8,800
10613,1000,8,800
10777,1000,6,600
10778,1000,12,1200
10680,1000,5,500
10588,1000,10,1000
10966,1000,12,1200
10725,1000,9,900
10598,1000,10,1000
10731,1000,11,1100
10847,1000,17,1700
10933,1000,8,800
10179,1000,9,900
10564,1000,12,1200
10736,1000,14,1400
10766,1000,8,800
10928,1000,14,1400
10506,1000,5,500
10218,1000,10,1000
10387,1000,6,600
10482,1000,4,400
10722,1000,6,600
10868,1000,10,1000
10891,1000,8,800
10711,1000,8,800
10456,1000,9,900
10837,1000,7,700
10030,1000,10,1000
10090,1000,12,1200
10513,1000,7,700
10669,1000,8,800
10707,1000,10,1000
10577,1000,7,700
10197,1000,10,1000
10168,1000,12,1200
10245,1000,11,1100
10196,1000,14,1400
10587,1000,7,700
10616,1000,9,900
10709,1000,11,1100
10660,1000,6,600
10527,1000,15,1500
10794,1000,8,800
10178,1000,11,1100
10501,1000,11,1100
10600,1000,5,500
10006,1000,7,700
10014,1000,15,1500
10156,1000,9,900
10228,1000,5,500
10339,1000,6,600
10032,1000,15,1500
10870,1000,8,800
10776,1000,11,1100
10198,1000,7,700
10793,1000,8,800
10101,1000,9,900
10808,1000,4,400
10671,1000,12,1200
10308,1000,5,500
10666,1000,5,500
10720,1000,9,900
10857,1000,8,800
10549,1000,11,1100
10804,1000,10,1000
10395,1000,12,1200
10546,1000,13,1300
10575,1000,9,900
10844,1000,7,700
10990,1000,7,700
10569,1000,14,1400
10679,1000,11,1100
10011,1000,6,600
10381,1000,12,1200
10509,1000,7,700
10281,1000,8,800
10529,1000,14,1400
10960,1000,11,1100
10723,1000,5,500
10307,1000,13,1300
10441,1000,4,400
10914,1000,12,1200
10762,1000,8,800
10956,1000,8,800
10423,1000,13,1300
10487,1000,9,900
10492,1000,8,800
10862,1000,9,900
10042,1000,11,1100
10344,1000,10,1000
10026,1000,5,500
10558,1000,16,1600
10909,1000,6,600
10946,1000,11,1100
10020,1000,12,1200
10357,1000,9,900
10915,1000,15,1500
10904,1000,5,500
10158,1000,16,1600
10034,1000,11,1100
10189,1000,8,800
10326,1000,14,1400
10086,1000,10,1000
10355,1000,10,1000
10048,1000,6,600
10220,1000,14,1400
10238,1000,11,1100
10800,1000,10,1000
10955,1000,14,1400
10128,1000,5,500
10526,1000,8,800
10963,1000,12,1200
10968,1000,6,600
10346,1000,12,1200
10478,1000,8,800
10389,1000,7,700
10459,1000,14,1400
10596,1000,8,800
10929,1000,6,600
10017,1000,8,800
10157,1000,13,1300
10849,1000,13,1300
10298,1000,12,1200
10316,1000,9,900
10496,1000,7,700
10641,1000,9,900
10057,1000,10,1000
10080,1000,8,800
10219,1000,7,700
10280,1000,9,900
10399,1000,10,1000
10300,1000,6,600
10676,1000,8,800
10843,1000,12,1200
10623,1000,8,800
10876,1000,11,1100
10335,1000,11,1100
10498,1000,10,1000
10712,1000,12,1200
10658,1000,7,700
10027,1000,12,1200
10292,1000,8,800
10331,1000,13,1300
10320,1000,10,1000
10970,1000,8,800
10207,1000,8,800
10414,1000,7,700
10419,1000,10,1000
10984,1000,11,1100
10008,1000,8,800
10507,1000,7,700
10508,1000,8,800
10025,1000,8,800
10163,1000,9,900
10384,1000,10,1000
10436,1000,9,900
10657,1000,11,1100
10797,1000,9,900
10977,1000,14,1400
10172,1000,10,1000
10028,1000,9,900
10046,1000,11,1100
10291,1000,8,800
10312,1000,14,1400
10781,1000,14,1400
10439,1000,8,800
10646,1000,12,1200
10895,1000,12,1200
10040,1000,10,1000
10450,1000,10,1000
10854,1000,9,900
10488,1000,11,1100
10579,1000,6,600
10898,1000,10,1000
10650,1000,5,500
10815,1000,13,1300
10472,1000,9,900
10578,1000,9,900
10583,1000,11,1100
10070,1000,16,1600
10231,1000,4,400
10677,1000,9,900
10728,1000,6,600
10036,1000,12,1200
10366,1000,13,1300
10466,1000,9,900
10536,1000,10,1000
10799,1000,11,1100
10055,1000,9,900
10227,1000,10,1000
10336,1000,11,1100
10454,1000,9,900
10535,1000,9,900
10611,1000,9,900
10183,1000,12,1200
10170,1000,10,1000
10345,1000,10,1000
10896,1000,18,1800
10544,1000,9,900
10627,1000,6,600
10079,1000,9,900
10109,1000,8,800
10417,1000,7,700
10551,1000,12,1200
10620,1000,10,1000
10310,1000,10,1000
10404,1000,12,1200
10918,1000,15,1500
10982,1000,5,500
10992,1000,10,1000
10068,1000,13,1300
10230,1000,8,800
10362,1000,8,800
10391,1000,12,1200
10405,1000,11,1100
10464,1000,7,700
10538,1000,13,1300
10826,1000,8,800
10838,1000,7,700
10593,1000,10,1000
10243,1000,9,900
10770,1000,13,1300
10106,1000,9,900
10365,1000,8,800
10416,1000,9,900
10649,1000,14,1400
10675,1000,8,800
10746,1000,8,800
10813,1000,11,1100
10175,1000,12,1200
10327,1000,11,1100
10869,1000,15,1500
10256,1000,10,1000
10653,1000,8,800
10911,1000,7,700
10991,1000,10,1000
10742,1000,10,1000
10759,1000,9,900
10251,1000,10,1000
10400,1000,14,1400
10841,1000,8,800
10863,1000,5,500
10204,1000,13,1300
10532,1000,7,700
10360,1000,11,1100
10951,1000,10,1000
10043,1000,10,1000
10151,1000,8,800
10445,1000,12,1200
10515,1000,14,1400
10615,1000,5,500
10275,1000,12,1200
10873,1000,9,900
10919,1000,8,800
10402,1000,15,1500
10617,1000,2,200
10858,1000,12,1200
10177,1000,5,500
