src_port,ground_truth,sampled,scaled
10156,1000,107,1070
10176,1000,97,970
10188,1000,75,750
10226,1000,107,1070
10229,1000,103,1030
10243,1000,99,990
10247,1000,94,940
10295,1000,102,1020
10359,1000,101,1010
10368,1000,106,1060
10399,1000,94,940
10437,1000,80,800
10442,1000,95,950
10487,1000,97,970
10503,1000,113,1130
10517,1000,108,1080
10530,1000,87,870
10531,1000,94,940
10549,1000,99,990
10647,1000,90,900
10584,1000,105,1050
10681,1000,88,880
10695,1000,93,930
10704,1000,106,1060
10718,1000,105,1050
10747,1000,103,1030
10768,1000,102,1020
10797,1000,102,1020
10811,1000,105,1050
10820,1000,121,1210
10858,1000,122,1220
10868,1000,108,1080
10878,1000,107,1070
10923,1000,99,990
10961,1000,77,770
10976,1000,104,1040
10008,1000,111,1110
10010,1000,98,980
10044,1000,103,1030
10058,1000,99,990
10101,1000,91,910
10109,1000,96,960
10187,1000,99,990
10190,1000,92,920
10224,1000,86,860
10244,1000,84,840
10246,1000,104,1040
10307,1000,100,1000
10315,1000,93,930
10362,1000,93,930
10369,1000,78,780
10441,1000,97,970
10445,1000,101,1010
10450,1000,101,1010
10493,1000,98,980
10501,1000,90,900
10518,1000,87,870
10519,1000,109,1090
10526,1000,110,1100
10552,1000,101,1010
10554,1000,89,890
10572,1000,104,1040
10603,1000,100,1000
10644,1000,106,1060
10654,1000,104,1040
10663,1000,108,1080
10702,1000,104,1040
10709,1000,100,1000
10712,1000,100,1000
10762,1000,95,950
10773,1000,89,890
10776,1000,86,860
10796,1000,103,1030
10851,1000,100,1000
10857,1000,90,900
10928,1000,90,900
10960,1000,93,930
10034,1000,106,1060
10050,1000,106,1060
10089,1000,94,940
10092,1000,97,970
10095,1000,110,1100
10123,1000,112,1120
10136,1000,92,920
10164,1000,88,880
10192,1000,111,1110
10217,1000,98,980
10290,1000,104,1040
10304,1000,109,1090
10316,1000,100,1000
10324,1000,99,990
10346,1000,89,890
10356,1000,89,890
10366,1000,98,980
10376,1000,81,810
10396,1000,108,1080
10421,1000,105,1050
10435,1000,93,930
10477,1000,114,1140
10490,1000,90,900
10528,1000,95,950
10536,1000,100,1000
10563,1000,99,990
10601,1000,92,920
10608,1000,109,1090
10618,1000,81,810
10623,1000,101,1010
10639,1000,105,1050
10646,1000,85,850
10694,1000,111,1110
10710,1000,111,1110
10728,1000,98,980
10739,1000,91,910
10794,1000,97,970
10860,1000,93,930
10865,1000,81,810
10870,1000,89,890
10871,1000,100,1000
10872,1000,104,1040
10925,1000,102,1020
10970,1000,107,1070
10993,1000,90,900
10998,1000,91,910
10011,1000,123,1230
10014,1000,93,930
10081,1000,122,1220
10086,1000,95,950
10103,1000,99,990
10157,1000,112,1120
10180,1000,91,910
10209,1000,105,1050
10221,1000,84,840
10270,1000,105,1050
10272,1000,104,1040
10282,1000,116,1160
10287,1000,111,1110
10294,1000,99,990
10321,1000,90,900
10341,1000,88,880
10402,1000,118,1180
10454,1000,110,1100
10502,1000,97,970
10548,1000,105,1050
10561,1000,92,920
10594,1000,91,910
10598,1000,91,910
10607,1000,105,1050
10637,1000,105,1050
10643,1000,104,1040
10658,1000,103,1030
10713,1000,97,970
10735,1000,90,900
10743,1000,99,990
10771,1000,103,1030
10788,1000,116,1160
10795,1000,101,1010
10836,1000,97,970
10854,1000,122,1220
10869,1000,99,990
10893,1000,112,1120
10898,1000,100,1000
10912,1000,91,910
10927,1000,107,1070
10940,1000,98,980
10957,1000,92,920
10989,1000,99,990
10016,1000,101,1010
10035,1000,90,900
10039,1000,96,960
10042,1000,87,870
10043,1000,98,980
10055,1000,89,890
10076,1000,113,1130
10083,1000,96,960
10094,1000,113,1130
10104,1000,90,900
